Anbieter,Postleitzahl,Jahresverbrauch,Abschlagszahlung,Grundpreis,Arbeitspreis,Wechselbonus,Sofortbonus,Preisgarantie,Vertragslaufzeit,Verlängerung,Kündigungsfrist,Preis im 1. Jahr,Jährliche Gutschrift,Arbeitspreisrabatt,Neukundenbonus,Abschlagsrabatt,Laufzeitbonus im 1. Jahr,Vorauszahlung: jährlich,Online-Abschluss,Zzgl. Treuebonus,Aktionsrabatt,CHECK24 Sofortbonus,Online-Rabatt
GASAG AG,10969,7.000 kWh,monatlich,"7,90 €/Monat (94,80 €/Jahr)","26,56 Cent/kWh",NA,NA,24 Monate Energiepreisgarantie,24 Monate,12 Monate,1 Monat vor Ende der Laufzeit,"1.954,00 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
STRASSERAUF electricitaet - Eine Marke der Energieversorgung Oberhausen AG,10969,7.000 kWh,monatlich,"0,00 €/Monat (0,00 €/Jahr)","27,92 Cent/kWh",NA,NA,12 Monate Preisfixierung,1 Monat,1 Monat,6 Wochen zum Vertragsende,"1.954,22 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nord Stadtwerke GmbH,10969,7.000 kWh,monatlich,"9,87 €/Monat (118,44 €/Jahr)","26,94 Cent/kWh",NA,NA,12 Monate Preisfixierung,12 Monate,12 Monate,6 Wochen zum Vertragsende,"1.954,24 €/Jahr",NA,NA,50 € einmalig,NA,NA,NA,NA,NA,NA,NA,NA
enQu GmbH,10969,7.000 kWh,monatlich,"5,75 €/Monat (69,03 €/Jahr)","26,93 Cent/kWh",NA,NA,12 Monate Preisfixierung,12 Monate,12 Monate,4 Wochen zum Monatsende,"1.954,28 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GAS IN GmbH,10969,7.000 kWh,monatlich,"8,65 €/Monat (103,76 €/Jahr)","26,45 Cent/kWh",NA,NA,12 Monate Preisfixierung,12 Monate,12 Monate,6 Wochen zum Vertragsende,"1.955,26 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KlickEnergie GmbH & Co. KG,10969,7.000 kWh,monatlich,"1,76 €/Monat (21,17 €/Jahr)","27,63 Cent/kWh",NA,NA,12 Monate Preisfixierung,12 Monate,1 Monat,4 Wochen zum Monatsende,"1.955,56 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Süwag Vertrieb AG & Co. KG,10969,7.000 kWh,monatlich,"9,12 €/Monat (109,48 €/Jahr)","26,38 Cent/kWh",NA,NA,Preisfixierung bis 31.12.2020,1 Monat,1 Monat,1 Monat zum Vertragsende,"1.956,08 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
enQu GmbH,10969,7.000 kWh,monatlich,"6,94 €/Monat (83,31 €/Jahr)","26,78 Cent/kWh",NA,NA,24 Monate Preisfixierung,24 Monate,12 Monate,4 Wochen zum Monatsende,"1.957,98 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Energie von nebenan - Eine Marke der Stadtwerke Herne AG,10969,7.000 kWh,monatlich,"6,34 €/Monat (76,12 €/Jahr)","26,89 Cent/kWh",NA,NA,keine,Jahresende,12 Monate,6 Wochen zum Ende der Lieferzeit,"1.958,54 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Energieversorgung Pirna GmbH,10969,7.000 kWh,monatlich,"7,93 €/Monat (95,20 €/Jahr)","26,66 Cent/kWh",NA,NA,Preisfixierung bis 31.12.2020,1 Monat,1 Monat,1 Monat zum Vertragsende,"1.961,12 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
enQu GmbH,10969,7.000 kWh,monatlich,"10,02 €/Monat (120,20 €/Jahr)","26,30 Cent/kWh",NA,NA,keine,1 Monat,1 Monat,4 Wochen zum Monatsende,"1.961,47 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
energieGUT GmbH,10969,7.000 kWh,monatlich,"9,87 €/Monat (118,42 €/Jahr)","26,33 Cent/kWh",NA,NA,12 Monate Preisfixierung,3 Monate,1 Monat,1 Monat zum Monatsende,"1.961,52 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leu Energie GmbH & Co. KG,10969,7.000 kWh,monatlich,"11,00 €/Monat (132,00 €/Jahr)","26,14 Cent/kWh",NA,NA,12 Monate Preisfixierung,12 Monate,12 Monate,4 Wochen zum Vertragsende,"1.961,92 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greenline - alternative energien GmbH,10969,7.000 kWh,monatlich,"6,47 €/Monat (77,64 €/Jahr)","26,92 Cent/kWh",NA,NA,12 Monate Preisfixierung,12 Monate,12 Monate,4 Wochen zum Monatsende,"1.962,05 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
enyway GmbH,10969,7.000 kWh,monatlich,"6,38 €/Monat (76,56 €/Jahr)","28,25 Cent/kWh",NA,NA,12 Monate Preisfixierung,1 Monat,1 Monat,4 Wochen zum Monatsende,"1.964,06 €/Jahr",NA,NA,90 € einmalig,NA,NA,NA,NA,NA,NA,NA,NA
R(H)EINPOWER - Eine Marke der Stadtwerke Duisburg AG,10969,7.000 kWh,monatlich,"10,70 €/Monat (128,44 €/Jahr)","27,37 Cent/kWh",NA,NA,12 Monate Preisfixierung,12 Monate,1 Monat,1 Monat zum Monatsende,"1.964,34 €/Jahr",NA,NA,80 € einmalig,NA,NA,NA,NA,NA,NA,NA,NA
eq-strom GmbH & Co. KG,10969,7.000 kWh,monatlich,"6,30 €/Monat (75,60 €/Jahr)","26,99 Cent/kWh",NA,NA,keine,Jahresende,12 Monate,6 Wochen zum Ende der Lieferzeit,"1.964,90 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Heldenstrom - Eine Marke der 24/7 Energie und Kommunikation GmbH,10969,7.000 kWh,monatlich,"7,34 €/Monat (88,02 €/Jahr)","26,82 Cent/kWh",NA,NA,12 Monate Energiepreisgarantie,12 Monate,12 Monate,6 Wochen,"1.965,42 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stadtwerke Lutherstadt Wittenberg GmbH,10969,7.000 kWh,jährlich,"6,35 €/Monat (76,26 €/Jahr)","27,42 Cent/kWh",NA,NA,keine,12 Monate,12 Monate,3 Monate vor Vertragsende,"1.965,55 €/Jahr",NA,NA,NA,NA,NA,2 % auf Rechnungsbetrag (29 € ),NA,NA,NA,NA,NA
Energie von nebenan - Eine Marke der Stadtwerke Herne AG,10969,7.000 kWh,monatlich,"6,34 €/Monat (76,12 €/Jahr)","27,01 Cent/kWh",NA,NA,keine,1 Monat,1 Monat,1 Monat auf das Ende eines Kalendermonats,"1.966,87 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GAS IN GmbH,10969,7.000 kWh,monatlich,"9,14 €/Monat (109,71 €/Jahr)","26,57 Cent/kWh",NA,NA,keine,1 Monat,1 Monat,4 Wochen zum Vertragsende,"1.969,54 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leu Energie GmbH & Co. KG,10969,7.000 kWh,monatlich,"11,00 €/Monat (132,00 €/Jahr)","26,25 Cent/kWh",NA,NA,24 Monate Preisfixierung,24 Monate,12 Monate,4 Wochen zum Vertragsende,"1.969,63 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
idealenergie - Eine Marke der 365 AG,10969,7.000 kWh,monatlich,"164,14 €/Monat (1.969,70 €/Jahr)","45,00 Cent/kWh",NA,NA,12 Monate Preisfixierung,12 Monate,12 Monate,4 Wochen zum Vertragsende,"1.969,70 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lechwerke AG,10969,7.000 kWh,monatlich,"12,50 €/Monat (150,00 €/Jahr)","26,01 Cent/kWh",NA,NA,Preisfixierung bis 31.12.2020,12 Monate,12 Monate,1 Monat zum Vertragsende,"1.970,70 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EMB Energie Mark Brandenburg GmbH,10969,7.000 kWh,monatlich,"7,64 €/Monat (91,63 €/Jahr)","27,56 Cent/kWh",NA,NA,24 Monate Preisfixierung,24 Monate,12 Monate,1 Monat auf das Ende eines Kalendermonats,"1.970,83 €/Jahr",NA,NA,50 € einmalig,NA,NA,NA,NA,NA,NA,NA,NA
energieGUT GmbH,10969,7.000 kWh,monatlich,"10,69 €/Monat (128,23 €/Jahr)","26,35 Cent/kWh",NA,NA,12 Monate Preisfixierung,3 Monate,1 Monat,1 Monat zum Monatsende,"1.972,73 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q1 Energie AG,10969,7.000 kWh,monatlich,"8,93 €/Monat (107,16 €/Jahr)","26,66 Cent/kWh",NA,NA,24 Monate Energiepreisgarantie,24 Monate,12 Monate,4 Wochen zum Vertragsende,"1.973,36 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greenline - alternative energien GmbH,10969,7.000 kWh,monatlich,"6,47 €/Monat (77,64 €/Jahr)","27,09 Cent/kWh",NA,NA,12 Monate Preisfixierung,12 Monate,12 Monate,4 Wochen zum Monatsende,"1.973,97 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leu Energie GmbH & Co. KG,10969,7.000 kWh,monatlich,"11,00 €/Monat (132,00 €/Jahr)","26,32 Cent/kWh",NA,NA,36 Monate Preisfixierung,24 Monate,12 Monate,4 Wochen zum Vertragsende,"1.974,62 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Berliner Stadtwerke EnergiePartner GmbH,10969,7.000 kWh,monatlich,"10,00 €/Monat (119,95 €/Jahr)","26,50 Cent/kWh",NA,NA,Preisfixierung bis 01.01.2021,12 Monate,4 Wochen,1 Monat zum Monatsende,"1.975,04 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENTEGA Plus GmbH,10969,7.000 kWh,monatlich,"10,00 €/Monat (120,00 €/Jahr)","26,93 Cent/kWh",NA,NA,12 Monate Preisfixierung,12 Monate,12 Monate,2 Wochen zum Vertragsende,"1.975,10 €/Jahr",NA,NA,30 € einmalig,NA,NA,NA,NA,NA,NA,NA,NA
Propan Rheingas GmbH & Co. Kommanditgesellschaft,10969,7.000 kWh,monatlich,"6,84 €/Monat (82,11 €/Jahr)","27,05 Cent/kWh",NA,NA,24 Monate Energiepreisgarantie,24 Monate,12 Monate,6 Wochen zum Monatsende,"1.975,52 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
enQu GmbH,10969,7.000 kWh,monatlich,"10,02 €/Monat (120,20 €/Jahr)","26,51 Cent/kWh",NA,NA,keine,1 Monat,1 Monat,4 Wochen zum Monatsende,"1.976,04 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stadtwerke Haltern am See GmbH,10969,7.000 kWh,monatlich,"4,37 €/Monat (52,44 €/Jahr)","27,49 Cent/kWh",NA,NA,12 Monate Preisfixierung,12 Monate,12 Monate,6 Wochen zum Ende der Lieferzeit,"1.976,74 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
natürlich grün - Eine Marke der Smiling Green Energy GmbH,10969,7.000 kWh,monatlich,"8,68 €/Monat (104,13 €/Jahr)","26,75 Cent/kWh",NA,NA,keine,1 Monat,1 Monat,14 Tage,"1.976,79 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
natürlich grün - Eine Marke der Smiling Green Energy GmbH,10969,7.000 kWh,monatlich,"8,68 €/Monat (104,13 €/Jahr)","26,75 Cent/kWh",NA,NA,keine,1 Monat,1 Monat,14 Tage,"1.976,79 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENTEGA Plus GmbH,10969,7.000 kWh,monatlich,"10,00 €/Monat (120,00 €/Jahr)","27,75 Cent/kWh",NA,NA,24 Monate Preisfixierung,24 Monate,12 Monate,2 Wochen zum Vertragsende,"1.977,50 €/Jahr",NA,NA,85 € einmalig,NA,NA,NA,NA,NA,NA,NA,NA
NEW Niederrhein Energie und Wasser GmbH,10969,7.000 kWh,monatlich,"8,89 €/Monat (106,72 €/Jahr)","26,73 Cent/kWh",NA,NA,12 Monate Preisfixierung,12 Monate,12 Monate,1 Monat zum Monatsende,"1.977,64 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
STROGON GmbH,10969,7.000 kWh,monatlich,"10,54 €/Monat (126,49 €/Jahr)","26,45 Cent/kWh",NA,NA,12 Monate Preisgarantie,12 Monate,12 Monate,6 Wochen zum Vertragsende,"1.977,66 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EWE Vertrieb GmbH,10969,7.000 kWh,monatlich,"8,43 €/Monat (101,16 €/Jahr)","28,20 Cent/kWh",NA,NA,12 Monate Nettopreisgarantie,12 Monate,12 Monate,1 Monat zum Vertragsende,"1.978,04 €/Jahr",NA,NA,97 € einmalig,NA,NA,NA,NA,NA,NA,NA,NA
idealenergie - Eine Marke der 365 AG,10969,7.000 kWh,monatlich,"164,85 €/Monat (1.978,14 €/Jahr)","45,00 Cent/kWh",NA,NA,12 Monate Preisfixierung,12 Monate,12 Monate,4 Wochen zum Vertragsende,"1.978,14 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
immergrün! energie - Eine Marke der 365 AG,10969,7.000 kWh,monatlich,"7,93 €/Monat (95,21 €/Jahr)","36,37 Cent/kWh",NA,NA,12 Monate Preisfixierung,12 Monate,12 Monate,12 Wochen zum Vertragsende,"1.980,91 €/Jahr",NA,NA,25 % auf Rechnungsbetrag (660 € ),NA,NA,NA,NA,NA,NA,NA,NA
Stadtwerke Fellbach GmbH,10969,7.000 kWh,monatlich,"8,19 €/Monat (98,29 €/Jahr)","26,92 Cent/kWh",NA,NA,Preisfixierung bis 31.12.2021,12 Monate,Zum Ende des Kalenderjahres,6 Wochen zum Monatsende,"1.982,79 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LogoEnergie GmbH,10969,7.000 kWh,monatlich,"7,74 €/Monat (92,82 €/Jahr)","29,16 Cent/kWh",NA,10 € einmalig,24 Monate Preisfixierung,12 Monate,12 Monate,1 Monat zum Vertragsende,"1.983,67 €/Jahr",NA,NA,140 € einmalig,NA,NA,NA,NA,NA,NA,NA,NA
Hoyer Strom- und Erdgas GmbH,10969,7.000 kWh,monatlich,"6,08 €/Monat (73,00 €/Jahr)","27,30 Cent/kWh",NA,NA,12 Monate Preisfixierung,12 Monate,12 Monate,6 Wochen zum Monatsende,"1.984,00 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stadtwerke Heidenheim AG,10969,7.000 kWh,monatlich,"6,47 €/Monat (77,68 €/Jahr)","27,24 Cent/kWh",NA,NA,keine,keine Angabe,keine Angabe,keine Angabe,"1.984,48 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
immergrün! energie - Eine Marke der 365 AG,10969,7.000 kWh,monatlich,"6,01 €/Monat (72,08 €/Jahr)","32,66 Cent/kWh",NA,20 € einmalig,12 Monate Preisfixierung,12 Monate,12 Monate,6 Wochen zum Vertragsende,"1.984,54 €/Jahr",NA,NA,15 % auf Rechnungsbetrag (353 € ),NA,NA,NA,NA,NA,NA,NA,NA
Stadtwerke Schwäbisch Hall GmbH,10969,7.000 kWh,monatlich,"9,50 €/Monat (114,00 €/Jahr)","26,74 Cent/kWh",NA,NA,keine,Jahresende,1 Monat,1 Monat auf das Ende eines Kalendermonats,"1.985,84 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWU Energie GmbH,10969,7.000 kWh,monatlich,"5,55 €/Monat (66,60 €/Jahr)","27,43 Cent/kWh",NA,NA,12 Monate Preisfixierung,3 Monate,1 Monat,4 Wochen zum Monatsende,"1.986,70 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bodensee Energie - Eine Marke der STADTWERK AM SEE GmbH & Co. KG,10969,7.000 kWh,monatlich,"9,35 €/Monat (112,24 €/Jahr)","26,79 Cent/kWh",NA,NA,12 Monate Preisfixierung,12 Monate,12 Monate,1 Monat zum Monatsende,"1.987,32 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Städtische Werke Aktiengesellschaft,10969,7.000 kWh,monatlich,"9,92 €/Monat (119,04 €/Jahr)","26,70 Cent/kWh",NA,NA,Energiepreisgarantie bis 31.12.2020,bis 31.12.2019,12 Monate,6 Wochen zum Vertragsende,"1.988,04 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WSW Energie & Wasser AG,10969,7.000 kWh,monatlich,"8,28 €/Monat (99,37 €/Jahr)","27,00 Cent/kWh",NA,NA,keine,1 Monat,1 Monat,1 Monat zum Monatsende,"1.989,37 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stadtwerke Haltern am See GmbH,10969,7.000 kWh,monatlich,"4,37 €/Monat (52,44 €/Jahr)","27,68 Cent/kWh",NA,NA,24 Monate Preisfixierung,24 Monate,12 Monate,6 Wochen zum Ende der Lieferzeit,"1.990,04 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E WIE EINFACH GmbH,10969,7.000 kWh,monatlich,"0,00 €/Monat (0,00 €/Jahr)","28,43 Cent/kWh",NA,NA,12 Monate Preisfixierung,12 Monate,12 Monate,1 Monat zum Monatsende,"1.990,10 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RevierKraft - Eine Marke der Energieversorgung Oberhausen AG,10969,7.000 kWh,monatlich,"6,97 €/Monat (83,65 €/Jahr)","27,24 Cent/kWh",NA,NA,12 Monate Preisfixierung,2 Monate,2 Monate,6 Wochen zum Vertragsende,"1.990,38 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stadtwerke Rostock Aktiengesellschaft,10969,7.000 kWh,monatlich,"8,84 €/Monat (106,14 €/Jahr)","26,93 Cent/kWh",NA,NA,keine,1 Monat,1 Monat,1 Monat zum Vertragsende,"1.990,96 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
susiEnergie GmbH,10969,7.000 kWh,monatlich,"6,50 €/Monat (78,00 €/Jahr)","27,33 Cent/kWh",NA,NA,12 Monate Preisfixierung,12 Monate,12 Monate,6 Wochen zum Vertragsende,"1.991,10 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSTROGA AG,10969,7.000 kWh,monatlich,"11,47 €/Monat (137,59 €/Jahr)","26,48 Cent/kWh",NA,NA,12 Monate Preisfixierung,12 Monate,12 Monate,6 Wochen zum Vertragsende,"1.991,19 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R(H)EINPOWER - Eine Marke der Stadtwerke Duisburg AG,10969,7.000 kWh,monatlich,"12,39 €/Monat (148,67 €/Jahr)","27,47 Cent/kWh",NA,NA,24 Monate Preisfixierung,1 Monat,1 Monat,1 Monat zum Monatsende,"1.991,57 €/Jahr",NA,NA,80 € einmalig,NA,NA,NA,NA,NA,NA,NA,NA
STROGON GmbH,10969,7.000 kWh,monatlich,"6,71 €/Monat (80,47 €/Jahr)","36,79 Cent/kWh",NA,NA,12 Monate Preisfixierung,12 Monate,12 Monate,5 Wochen zum Vertragsende,"1.991,96 €/Jahr",NA,NA,25 % auf Rechnungsbetrag (663 € ),NA,NA,NA,NA,NA,NA,NA,NA
EWE Vertrieb GmbH,10969,7.000 kWh,monatlich,"8,43 €/Monat (101,16 €/Jahr)","28,44 Cent/kWh",NA,NA,24 Monate Preisfixierung,24 Monate,12 Monate,1 Monat zum Vertragsende,"1.992,20 €/Jahr",NA,NA,100 € einmalig,NA,NA,NA,NA,NA,NA,NA,NA
GAS IN GmbH,10969,7.000 kWh,monatlich,"8,65 €/Monat (103,76 €/Jahr)","27,70 Cent/kWh",NA,NA,12 Monate Preisfixierung,12 Monate,12 Monate,6 Wochen zum Vertragsende,"1.992,73 €/Jahr",NA,NA,50 € einmalig,NA,NA,NA,NA,NA,NA,NA,NA
Stadtwerke Eisenhüttenstadt GmbH,10969,7.000 kWh,monatlich,"6,41 €/Monat (76,92 €/Jahr)","27,37 Cent/kWh",NA,NA,keine,keine Angabe,keine Angabe,keine Angabe,"1.992,82 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R(H)EINPOWER - Eine Marke der Stadtwerke Duisburg AG,10969,7.000 kWh,monatlich,"11,70 €/Monat (140,34 €/Jahr)","27,61 Cent/kWh",NA,NA,24 Monate Preisfixierung,12 Monate,12 Monate,1 Monat zum Monatsende,"1.993,04 €/Jahr",NA,NA,80 € einmalig,NA,NA,NA,NA,NA,NA,NA,NA
Mark-E Aktiengesellschaft,10969,7.000 kWh,monatlich,"7,93 €/Monat (95,21 €/Jahr)","27,12 Cent/kWh",NA,NA,12 Monate Preisfixierung,12 Monate,12 Monate,1 Monat zum Monatsende,"1.993,61 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stadtwerke Fellbach GmbH,10969,7.000 kWh,monatlich,"8,19 €/Monat (98,29 €/Jahr)","27,08 Cent/kWh",NA,NA,Preisfixierung bis 31.12.2021,12 Monate,Zum Ende des Kalenderjahres,6 Wochen zum Monatsende,"1.993,62 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWT Stadtwerke Trier Versorgungs-GmbH,10969,7.000 kWh,monatlich,"10,39 €/Monat (124,66 €/Jahr)","27,42 Cent/kWh",NA,NA,Preisfixierung bis 31.12.2020,bis 31.12.2020,keine Angabe,keine Angabe,"1.993,90 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,50 € einmalig,NA,NA
immergrün! energie - Eine Marke der 365 AG,10969,7.000 kWh,monatlich,"8,36 €/Monat (100,31 €/Jahr)","36,55 Cent/kWh",NA,NA,12 Monate Preisfixierung,12 Monate,12 Monate,6 Wochen zum Vertragsende,"1.993,90 €/Jahr",NA,NA,25 % auf Rechnungsbetrag (664 € ),NA,NA,NA,NA,NA,NA,NA,NA
idealenergie - Eine Marke der 365 AG,10969,7.000 kWh,monatlich,"8,37 €/Monat (100,42 €/Jahr)","36,55 Cent/kWh",NA,NA,12 Monate Preisfixierung,12 Monate,12 Monate,4 Wochen zum Vertragsende,"1.993,99 €/Jahr",NA,NA,25 % auf Rechnungsbetrag (664 € ),NA,NA,NA,NA,NA,NA,NA,NA
team energie GmbH & Co. KG,10969,7.000 kWh,monatlich,"6,82 €/Monat (81,84 €/Jahr)","27,33 Cent/kWh",NA,NA,12 Monate Nettopreisgarantie,6 Monate,1 Monat,1 Monat zum Vertragsende,"1.994,94 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stadtwerke Lutherstadt Wittenberg GmbH,10969,7.000 kWh,monatlich,"6,35 €/Monat (76,26 €/Jahr)","27,42 Cent/kWh",NA,NA,keine,12 Monate,12 Monate,3 Monate vor Vertragsende,"1.995,49 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bodensee Energie - Eine Marke der STADTWERK AM SEE GmbH & Co. KG,10969,7.000 kWh,monatlich,"9,35 €/Monat (112,24 €/Jahr)","26,91 Cent/kWh",NA,NA,12 Monate Preisfixierung,12 Monate,12 Monate,1 Monat zum Monatsende,"1.995,65 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
123energie - Eine Marke der PFALZWERKE AKTIENGESELLSCHAFT,10969,7.000 kWh,monatlich,"15,40 €/Monat (184,80 €/Jahr)","27,16 Cent/kWh",NA,NA,24 Monate Nettopreisgarantie,24 Monate,12 Monate,6 Wochen zum Vertragsende,"1.995,70 €/Jahr",NA,NA,NA,90 € einmalig,NA,NA,NA,NA,NA,NA,NA
Enpure by Vattenfall - Eine Marke der Vattenfall Real Estate Energy Sales GmbH,10969,7.000 kWh,monatlich,"6,50 €/Monat (78,00 €/Jahr)","27,40 Cent/kWh",NA,NA,12 Monate Nettopreisgarantie,2 Wochen,2 Wochen,2 Wochen zum Vertragsende,"1.996,00 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
die energievorsorger GmbH,10969,7.000 kWh,monatlich,"6,50 €/Monat (78,00 €/Jahr)","27,41 Cent/kWh",NA,NA,24 Monate Preisfixierung,24 Monate,12 Monate,1 Monat zum Vertragsende,"1.996,70 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fulminant Energie GmbH,10969,7.000 kWh,monatlich,"7,93 €/Monat (95,21 €/Jahr)","27,17 Cent/kWh",NA,NA,36 Monate Energiepreisgarantie,36 Monate,12 Monate,1 Monat zum Vertragsende,"1.997,03 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
enyway GmbH,10969,7.000 kWh,monatlich,"6,38 €/Monat (76,56 €/Jahr)","28,73 Cent/kWh",NA,NA,12 Monate Preisfixierung,1 Monat,1 Monat,4 Wochen zum Monatsende,"1.997,66 €/Jahr",NA,NA,90 € einmalig,NA,NA,NA,NA,NA,NA,NA,NA
STROM09 - Eine Marke der LichtBlick SE,10969,7.000 kWh,monatlich,"9,09 €/Monat (109,08 €/Jahr)","26,99 Cent/kWh",NA,NA,keine,1 Monat,1 Monat,4 Wochen zum Monatsende,"1.998,38 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q1 Energie AG,10969,7.000 kWh,monatlich,"8,93 €/Monat (107,16 €/Jahr)","27,02 Cent/kWh",NA,NA,1 Monate Energiepreisgarantie,1 Monat,1 Monat,2 Wochen zum Vertragsende,"1.998,56 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWK ENERGIE GmbH,10969,7.000 kWh,monatlich,"10,33 €/Monat (124,01 €/Jahr)","27,88 Cent/kWh",NA,NA,24 Monate Preisfixierung,24 Monate,12 Monate,2 Wochen zum Vertragsende,"1.998,62 €/Jahr",NA,NA,77 € einmalig,NA,NA,NA,NA,NA,NA,NA,NA
R(H)EINPOWER - Eine Marke der Stadtwerke Duisburg AG,10969,7.000 kWh,monatlich,"11,70 €/Monat (140,34 €/Jahr)","27,70 Cent/kWh",NA,NA,12 Monate Preisfixierung,12 Monate,12 Monate,1 Monat zum Monatsende,"1.999,34 €/Jahr",NA,NA,80 € einmalig,NA,NA,NA,NA,NA,NA,NA,NA
natürlich grün - Eine Marke der Smiling Green Energy GmbH,10969,7.000 kWh,monatlich,"9,27 €/Monat (111,27 €/Jahr)","26,99 Cent/kWh",NA,NA,keine,1 Monat,1 Monat,14 Tage,"2.000,59 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stadtwerke Rostock Aktiengesellschaft,10969,7.000 kWh,monatlich,"8,95 €/Monat (107,45 €/Jahr)","27,06 Cent/kWh",NA,NA,Preisfixierung bis 31.12.2021,12 Monate,1 Monat,1 Monat zum Vertragsende,"2.001,60 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MONTANA Energieversorgung GmbH & Co. KG,10969,7.000 kWh,monatlich,"4,90 €/Monat (58,83 €/Jahr)","27,76 Cent/kWh",NA,NA,24 Monate Preisfixierung,24 Monate,1 Monat,1 Monat zum Vertragsende,"2.002,22 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
